City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
185,bubaque,32,GW,1538615887,100,11.28,-15.83,80.94,8.41
186,tura,68,IN,1538616200,86,25.52,90.21,74.82,4.61
187,zhengjiatun,0,CN,1538616373,57,43.51,123.51,57.18,9.75
188,mongo,36,CF,1538616373,98,4.83,22.92,66.18,2.26
189,phuket,75,TH,1538614800,83,7.89,98.4,80.6,1.12
190,komsomolskiy,92,RU,1538616375,97,67.55,63.78,39.36,11.88
191,severo-kurilsk,48,RU,1538615870,95,50.68,156.12,47.64,21.94
192,ron,32,IN,1538616375,94,15.7,75.73,68.7,3.38
193,arman,44,RU,1538613000,62,59.7,150.17,50.0,6.71
194,marystown,76,CA,1538616375,89,47.17,-55.16,49.98,13.78
195,saskylakh,76,RU,1538616180,96,71.97,114.09,28.2,9.98
196,garissa,0,KE,1538616215,85,-0.46,39.64,70.77,9.19
197,shu,0,KZ,1538615963,33,43.6,73.76,51.96,14.12
198,betsiamites,90,CA,1538615100,93,48.94,-68.65,46.4,2.24
199,bundaberg,0,AU,1538616376,94,-24.87,152.35,70.68,5.84
200,agirish,44,RU,1538616376,97,61.92,63.02,39.09,4.61
201,bhanpuri,20,IN,1538616376,82,21.1,80.92,73.11,2.04
202,pirgos,20,GR,1538614200,88,35.12,25.72,66.2,5.82
203,ratangarh,0,IN,1538616377,73,28.07,74.62,69.6,4.38
204,awjilah,56,LY,1538616377,30,29.14,21.3,83.19,13.56
205,berlevag,80,NO,1538615903,100,70.86,29.09,36.48,13.11
206,bloemfontein,0,ZA,1538614800,69,-29.12,26.22,37.4,4.7
207,dingle,64,PH,1538615937,99,11.0,122.67,78.06,3.27
208,shimoda,75,JP,1538611200,83,34.7,138.93,69.8,20.8
209,ilulissat,88,GL,1538614200,67,69.22,-51.1,21.2,2.93
210,tubuala,40,PA,1538614800,83,9.52,-79.03,80.6,4.7
211,ayan,24,TR,1538616378,86,40.67,33.6,41.34,2.71
212,kupang,20,ID,1538614800,52,-10.16,123.6,87.8,4.7
213,tyler,1,US,1538614500,79,32.35,-95.3,80.06,6.93
214,faya,0,SA,1538611200,42,18.39,42.45,64.4,4.7
215,sivas,0,TR,1538614200,70,39.75,37.01,46.4,5.82
216,hami,0,CN,1538616379,56,42.84,93.51,40.35,6.96
217,high level,20,CA,1538614800,50,58.52,-117.13,28.4,2.24
218,airai,8,TL,1538616036,57,-8.93,125.41,76.71,2.15
219,constitucion,5,MX,1538613840,40,23.99,-104.67,73.4,4.7
220,bredasdorp,0,ZA,1538614800,87,-34.53,20.04,44.6,3.36
221,jutai,80,BR,1538616380,84,-1.71,-47.89,78.87,5.73
222,monrovia,75,LR,1538614800,94,6.33,-10.8,77.0,3.36
223,iquique,90,CL,1538611200,77,-20.22,-70.14,64.4,9.17
